,Country,Population
1,China,"1,439,323,776"
2,India,"1,380,004,385"
3,United States of America,"331,002,651"
4,Indonesia,"273,523,615"
5,Pakistan,"220,892,340"
6,Brazil,"212,559,417"
7,Nigeria,"206,139,589"
8,Bangladesh,"164,689,383"
9,Russia,"145,934,462"
10,Mexico,"128,932,753"
11,Japan,"126,476,461"
12,Ethiopia,"114,963,588"
13,Philippines,"109,581,078"
14,Egypt,"102,334,404"
15,Vietnam,"97,338,579"
16,DR Congo,"89,561,403"
17,Turkey,"84,339,067"
18,Iran,"83,992,949"
19,Germany,"83,783,942"
20,Thailand,"69,799,978"
21,United Kingdom,"67,886,011"
22,France,"65,273,511"
23,Italy,"60,461,826"
24,Tanzania,"59,734,218"
25,South Africa,"59,308,690"
26,Myanmar,"54,409,800"
27,Kenya,"53,771,296"
28,South Korea,"51,269,185"
29,Colombia,"50,882,891"
30,Spain,"46,754,778"
31,Uganda,"45,741,007"
32,Argentina,"45,195,774"
33,Algeria,"43,851,044"
34,Sudan,"43,849,260"
35,Ukraine,"43,733,762"
36,Iraq,"40,222,493"
37,Afghanistan,"38,928,346"
38,Poland,"37,846,611"
39,Canada,"37,742,154"
40,Morocco,"36,910,560"
41,Saudi Arabia,"34,813,871"
42,Uzbekistan,"33,469,203"
43,Peru,"32,971,854"
44,Angola,"32,866,272"
45,Malaysia,"32,365,999"
46,Mozambique,"31,255,435"
47,Ghana,"31,072,940"
48,Yemen,"29,825,964"
49,Nepal,"29,136,808"
50,Venezuela,"28,435,940"
51,Madagascar,"27,691,018"
52,Cameroon,"26,545,863"
53,Côte d'Ivoire,"26,378,274"
54,North Korea,"25,778,816"
55,Australia,"25,499,884"
56,Niger,"24,206,644"
57,Taiwan,"23,816,775"
58,Sri Lanka,"21,413,249"
59,Burkina Faso,"20,903,273"
60,Mali,"20,250,833"
61,Romania,"19,237,691"
62,Malawi,"19,129,952"
63,Chile,"19,116,201"
64,Kazakhstan,"18,776,707"
65,Zambia,"18,383,955"
66,Guatemala,"17,915,568"
67,Ecuador,"17,643,054"
68,Syria,"17,500,658"
69,Netherlands,"17,134,872"
70,Senegal,"16,743,927"
71,Cambodia,"16,718,965"
72,Chad,"16,425,864"
73,Somalia,"15,893,222"
74,Zimbabwe,"14,862,924"
75,Guinea,"13,132,795"
76,Rwanda,"12,952,218"
77,Benin,"12,123,200"
78,Burundi,"11,890,784"
79,Tunisia,"11,818,619"
80,Bolivia,"11,673,021"
81,Belgium,"11,589,623"
82,Haiti,"11,402,528"
83,Cuba,"11,326,616"
84,South Sudan,"11,193,725"
85,Dominican Republic,"10,847,910"
86,Czech Republic (Czechia),"10,708,981"
87,Greece,"10,423,054"
88,Jordan,"10,203,134"
